AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0.133,-0.27,0.001,-4.1252976,-0.6875496,3.6669312
0.15,-0.227,0.524,-0.286479,-1.145916,2.291832
0,0,0,0,0.3437748,-0.1718874
0,-0.007,0.013,0.2291832,-0.2291832,-0.3437748
0.003,-0.045,0.062,1.0313244,1.0313244,0.859437
0.044,-0.006,-0.048,1.0313244,0.0572958,0.1145916
0.131,-0.273,0.005,-7.8495246,-0.572958,3.6669312
0.156,-0.218,0.525,1.145916,-0.4583664,2.291832
0,0,0,0.0572958,0.286479,-0.1145916
0.002,-0.006,0.011,0.286479,0,-0.1718874
0.002,-0.044,0.061,0.9740286,0.9740286,0.7448454
0.048,-0.006,-0.048,0.9740286,0.3437748,0.1145916
0.13,-0.297,0.013,-9.3392154,-0.6875496,3.6096354
0.156,-0.213,0.525,1.145916,-0.1718874,2.1199446
0,0,0,0.1145916,0.2291832,0
0.003,-0.004,0.012,0.2291832,0.4583664,0.0572958
0.002,-0.044,0.06,0.9740286,0.9740286,0.6875496
0.051,-0.003,-0.047,0.9167328,0.9740286,0.1145916
0.128,-0.293,0.017,-7.1046792,-0.8021412,3.6096354
0.151,-0.205,0.53,-0.286479,-0.286479,1.6042824
0,0,0,0.1145916,0.2291832,0
0,-0.001,0.011,0.4583664,1.0313244,0.1718874
0.003,-0.042,0.059,0.9740286,0.9167328,0.7448454
0.05,0,-0.047,1.0886202,1.0886202,-0.0572958
0.134,-0.295,0.018,-4.1825934,-0.7448454,3.2085648
0.148,-0.202,0.536,-2.3491278,-0.8021412,1.3750992
0,0,0,0.1145916,0.286479,0
-0.005,0,0.015,0.6302538,0.6875496,0.1145916
0.004,-0.04,0.059,1.0886202,0.859437,0.8021412
0.047,0,-0.047,0.9740286,1.3750992,-0.0572958
0.137,-0.309,0.017,1.2032118,-0.9740286,2.6929026
0.148,-0.207,0.536,-3.8961144,-1.3750992,1.2032118
0,0,0,0.2291832,0.3437748,0
-0.007,0.001,0.023,0.4583664,0.1145916,0
0.006,-0.04,0.059,1.145916,0.859437,0.9167328
0.043,0,-0.046,0.8021412,1.6615782,-0.1145916
0.135,-0.297,0.003,6.3598338,-1.3750992,2.2345362
0.147,-0.211,0.533,-5.0993262,-1.7761698,1.3750992
0,0,0,0.3437748,0.286479,0
-0.004,0,0.025,0.2291832,-0.1718874,-0.1145916
