"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.26","52","0.329","0.935","-0.669","0.6746000000000001","0.631","-0.0862","-0.373"
"0.26","52","0.885","0.052","0.441","0.4878","-0.3993","-0.7232000000000001","0.2819"
"0.26","52","0.85","0.018","0.487","0.5643","0.11779999999999999","-0.8143","-0.06720000000000001"
"0.26","52","-0.133","-0.942","-0.121","0.7961","-0.4324","0.34209999999999996","0.2492"
"0.26","52","-0.012","0.994","-0.012","0.8311999999999999","0.5","-0.1361","0.2012"
"0.265","49","0.631","-0.075","-0.61","0.8031","0.40599999999999997","-0.27999999999999997","-0.33399999999999996"
"0.265","53","0.38","0.924","-0.701","0.6801999999999999","0.6293","-0.0864","-0.36560000000000004"
"0.265","53","0.878","0.056","0.453","0.4873","-0.3997","-0.7232000000000001","0.2821"
"0.265","53","0.851","0.023","0.487","0.5641","0.1177","-0.8144","-0.06720000000000001"
"0.265","53","-0.116","-0.932","-0.122","0.7965","-0.43170000000000003","0.34199999999999997","0.2492"
