"TimeStamp","FrameCounter","AccX","AccY","AccZ","QuatW","QuatX","QuatY","QuatZ"
"0.4","40","-1.013","0.05","0.055","-0.2083","0.6224999999999999","-0.18580000000000002","0.731"
"0.4","40","0.044","0.979","-0.113","0.631","0.6017","0.3006","-0.3863"
"0.41000000000000003","41","-0.143","-0.386","-0.872","0.572","-0.23620000000000002","-0.6694","0.4109"
"0.41000000000000003","41","0.282","0.071","-0.951","0.9836","-0.096","-0.094","0.1197"
"0.41000000000000003","41","0.036","-0.972","0.006","0.6229","-0.6564","-0.3154","-0.2855"
"0.41000000000000003","41","0.323","-0.916","0.123","0.5981","-0.7224999999999999","-0.3452","-0.0319"
"0.41000000000000003","41","-1.027","0.056","0.055","-0.2088","0.6228","-0.1862","0.7306"
"0.41000000000000003","41","0.042","0.979","-0.11","0.631","0.6014999999999999","0.3007","-0.3865"
"0.42","42","-0.147","-0.371","-0.871","0.5725","-0.2359","-0.6692","0.41059999999999997"
"0.42","42","0.306","0.085","-0.963","0.9836","-0.0957","-0.0939","0.12010000000000001"
"0.42","42","0.029","-0.973","-0.002","0.6232","-0.6561","-0.3154","-0.2855"
"0.42","42","0.327","-0.918","0.125","0.5979","-0.7224","-0.34550000000000003","-0.032"
"0.42","42","-1.038","0.059","0.057","-0.20939999999999998","0.623","-0.1867","0.7301"
"0.42","42","0.04","0.982","-0.102","0.631","0.6014","0.3009","-0.3866"
"0.48","48","-0.163","-0.384","-0.904","0.5753999999999999","-0.236","-0.6667","0.41050000000000003"
"0.48","48","0.325","0.09","-1.001","0.9833999999999999","-0.095","-0.096","0.1206"
"0.48","48","0.003","-1.015","-0.017","0.6251","-0.6548","-0.315","-0.2848"
"0.48","48","0.346","-0.913","0.116","0.5974999999999999","-0.7221","-0.34700000000000003","-0.0325"
"0.48","48","-1.021","0.026","0.068","-0.21389999999999998","0.6227","-0.19","0.7281"
"0.48","43","0.053","0.989","-0.088","0.6311","0.6009","0.3008","-0.38730000000000003"
"0.49","49","-0.167","-0.386","-0.908","0.5759000000000001","-0.23610000000000003","-0.6664","0.4104"
"0.49","49","0.331","0.094","-0.994","0.9833999999999999","-0.09509999999999999","-0.0963","0.1203"
"0.49","49","0.0","-1.014","-0.017","0.6253","-0.6547","-0.3149","-0.2847"
"0.49","49","0.348","-0.916","0.116","0.5974999999999999","-0.722","-0.3471","-0.0325"
"0.49","49","-1.021","0.023","0.071","-0.215","0.6226","-0.1907","0.7278"
"0.49","44","0.057","0.988","-0.094","0.6311","0.6008","0.3008","-0.3874"
"0.5","50","-0.174","-0.389","-0.905","0.5764","-0.23610000000000003","-0.666","0.4102"
"0.5","50","0.321","0.099","-0.985","0.9833999999999999","-0.0953","-0.0964","0.12"
"0.5","50","-0.002","-1.014","-0.015","0.6254","-0.6546000000000001","-0.3148","-0.2847"
